OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,latitude,longitude
49026,,,979,CHELTENHAM/CAMBRIA,INT,,,,,,,,OPERATIONAL,,,,,-37.9932249995612,145.188339999474
49027,,,5611,PHE NR HOOD,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-38.1514129990595,146.787401999898
49028,,,2607,WESTERN HWY/ASHLEY,INT,,,,,,,,OPERATIONAL,"Bluetooth,SRLC",,,,-37.7813439992862,144.865414999551
49029,,,3640,PASCOE VALE/COOLAROO STATION ACCESS,INT,,,,,,,,OPERATIONAL,,,,,-37.6601659992383,144.925284000091
49030,,,2967,WATERVIEW/MARATHON,INT,,,,,,,,OPERATIONAL,,,,,-37.588921998988,144.905914000262
49031,,,2977,TULLAMARINE FWY/M80/WRR ENTRY RAMP IB,RAMP MTR,,,,,,,,OPERATIONAL,,,,,-37.7069389994045,144.890622999629
49032,,,1368,GOURLAY/ALLENBY,INT,,,,,,,,OPERATIONAL,,,,,-37.7023139991314,144.742339999542
49033,,,3659,MT ALEXANDER NR DAVIES,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.7691149987267,144.925558000003
49034,,,5157,BACCHUS MARSH-GEELONG NR STATION,POS,,,,,,,,OPERATIONAL,DIDO,,,,-37.6848749994777,144.433774999823
49035,,,1185,FERNTREE GULLY NR KATHRYN,POS,,,,,,,,OPERATIONAL,SB PRI,,,,-37.895313998806,145.249097000055
49036,,,1229,JOHNSTONE ST BTW PEARCEDALE PDE/LORRAINE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.6824009990952,144.91213100034
49037,,,3078,BALCOMBE BETWEEN BLUFF AND EBDEN,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.975584999129,145.016823999675
49038,,,3092,BLUFF BETWEEN BALCOMBE AND KARRAKATTA,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.9747439987371,145.016313000103
49039,,,3461,Grimshaw Street / Flintoff Street,INT,,,,,,,,OPERATIONAL,,,,,-37.7048889995556,145.105307000378
49040,,,1161,WHITEHALL ST NR BUNBURY,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.802894998802,144.905273999665
49041,,,1162,DAVID MUNROE DR/STAINSBY CR,INT,,,,,,,,OPERATIONAL,,,,,-37.638319999326,144.930914999965
49042,,,3658,BELL/PENTRIDGE,INT,,,,,,,,OPERATIONAL,,,,,-37.7417279990149,144.971511000545
49043,,,5134,GEELONG-BACCHUS MARSH/PRINCES HW (GRR),INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0586059993699,144.35844899966
49044,,,986,MCCLELLAND/NORTH,INT,,,,,,,,OPERATIONAL,,,,,-38.1593879989474,145.170024999744
49045,,,1513,ASHLEY STREET/RUPERT STREET,INT,,,,,,,,OPERATIONAL,,,,,-37.7976649990345,144.862382999491
49046,,,1195,WESTALL/IKEA ACCESS,INT,,,,,,,,OPERATIONAL,,,,,-37.9277969988382,145.142542000364
49047,,,3119,MIDDLEBOROUGH/CLARICE,INT,,,,,,,,OPERATIONAL,,,,,-37.8360489989241,145.135299000338
49048,,,1200,VINEYARD/MCDOUGALL,INT,,,,,,,,OPERATIONAL,DIDO,,,,-37.5892049989852,144.715010999861
49049,,,5233,PRINCES HWY NR FARM,POS,,,,,,,,OPERATIONAL,,,,,-37.9078429992726,144.645025999914
49050,,,2682,MT DERRIMUT/ PARAMOUNT BLVD,INT,,,,,,,,OPERATIONAL,,,,,-37.7876579987123,144.772396999757
49051,,,2818,COOPER/SCANLON,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.6487789989859,144.994659999954
49052,,,3373,HODDLE NR STANTON S/B,POS,,,,,,,,OPERATIONAL,"EVP,PUFFIN",,,,-37.8040489993311,144.992284999595
49053,,,3374,HODDLE NR STANTON N/B,POS,,,,,,,,OPERATIONAL,"EVP,PUFFIN",,,,-37.8040009995417,144.992293000094
49054,,,5270,TRIHOLM NR AVIATION,POS,,,,,,,,OPERATIONAL,"DIDO,PELICAN",,,,-37.8671049989487,144.760882999708
49055,,,1074,COLLINS NR BATMAN,POS,,,,,,,,OPERATIONAL,,,,,-37.8201279991078,144.950493000358
49056,,,1075,COLLINS NR SPENCER STATION,POS,,,,,,,,OPERATIONAL,,,,,-37.8193819992212,144.953014999658
49057,,,2018,BURWOOD HWY/BUNNINGS,INT,,,,,,,,OPERATIONAL,,,,,-37.8586009987307,145.196409999582
49058,,,2762,KINGS RD/WELLESLEY DV/PALMERSTON CR,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.6896309993863,144.784264999442
49059,,,2976,CALDER FWY/KINGS RD INT'CHG MELBOURNE BD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.6848029993449,144.788835000039
49060,,,1028,FRANK-DANDY/KIRKHAM,INT,,,,,,,,OPERATIONAL,BUS PRI,,,,-37.9998829991397,145.218234999817
49061,,,1177,WALKER/LANGHORNE,INT,,,,,,,,OPERATIONAL,,,,,-37.9877129992402,145.215330000412
49062,,,1184,MCGREGOR/HENRY,INT,,,,,,,,OPERATIONAL,PARTFCRT,,,,-38.0863259992048,145.472108000005
49063,,,1069,DOCKLANDS/SAINT MANGOS,INT,,,,,,,,OPERATIONAL,,,,,-37.8135579991696,144.941008999799
49064,,,5184,SHARON NR ELLIS,FLASH PX,,,,,,,,OPERATIONAL,,,,,-36.7766759992771,144.300123000391
49065,,,2876,WESTERN HWY/CORNWALL,INT,,,,,,,,OPERATIONAL,,,,,-37.7785619988044,144.842574000527
49066,,,1509,HIGH STREET/WOODGROVE SHOPPING CENTRE,INT,,,,,,,,OPERATIONAL,,,,,-37.6846459994695,144.563445000549
49067,,,2743,CALDER FREEWAY OFF RAMP/MCNAMARA,RBT MTR,,,,,,,,OPERATIONAL,BUS PRI,,,,-37.7322229987352,144.880644000409
49068,,,971,CANTERBURY/GREAT RYRIE,INT,,,,,,,,OPERATIONAL,,,,,-37.8323649991558,145.237336000198
49069,,,2814,COOPER/EDGARS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.6497579992382,145.005629000126
49070,,,5190,BELLARINE HWY/WALLINGTON-OCEAN GROVE,INT,,,,,,,,OPERATIONAL,"Bluetooth,TELECOM",,,,-38.2091879989995,144.509811000507
49071,,,2016,ROOKS NR MAURICE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.8230739991949,145.185513000461
49072,,,2854,MICKLEHAM/BARRYMORE,INT,,,,,,,,OPERATIONAL,"Bluetooth,EVP,PARTFCRT",,,,-37.655655998818,144.8821289999
49073,,,6222,MC IVOR HWY NR PUTNAM,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-36.7591089990651,144.309940999761
49074,,,3254,GAP/ALDI ENTRANCE,INT,,,,,,,,OPERATIONAL,,,,,-37.5787459988673,144.713153000253
49075,,,1105,HIGH STREET ROAD/EASTLINK,INT,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,,-37.8769089987156,145.211961000507
49076,,,3090,BURGUNDY/MOUNT,INT,,,,,,,,OPERATIONAL,,,,,-37.7558739987839,145.063305000339
49077,,,2356,NEPEAN HWY NR OAK,INT,,,,,,,,OPERATIONAL,,,,,-37.9738049992972,145.064293999503
49078,,,5832,STURT/RIPON,INT,,,,,,,,OPERATIONAL,,,,,-37.5598779991219,143.841446999873
49079,,,5283,SAYERS/FORSYTH,INT,,,,,,,,OPERATIONAL,,,,,-37.8527189989184,144.731185999922
49080,,,2697,WINDSOR/CAPESTHORNE/LENNON PARKWAY,INT,,,,,,,,OPERATIONAL,DIDO,,,,-37.7915829991616,144.762308999759
49081,,,547,PHE/RACECOURSE,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0708159994311,145.492854000184
49082,,,546,HEATHERDALE NR RAIL STATION,POS,,,,,,,,OPERATIONAL,,,,,-37.8186149987085,145.213403000349
49083,,,2710,MCDONALDS/OLEANDER/DANAHER,INT,,,,,,,,OPERATIONAL,,,,,-37.6504989994395,145.081070999604
49084,,,1213,SUNBURY/BULLA/WILDWOOD,RBT MTR,,,,,,,,OPERATIONAL,DIDO,,,,-37.6410169993914,144.816009000549
49085,,,1191,CHARLES GRIMES BRIDGE OFF RAMP,INT,,,,,,,,OPERATIONAL,"Bluetooth,PTS_SIGN,TRAM PRI",,,,-37.8223129987313,144.947759999718
49086,,,3654,CHAPEL/MALCOLM,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,-37.8368249989544,144.996163000187
49087,,,5317,TARNEIT/LEAKES,INT,,,,,,,,OPERATIONAL,,,,,-37.8320339994572,144.672874999586
49088,,,5318,PALMERS/ASHCROFT,INT,,,,,,,,OPERATIONAL,,,,,-37.8621879987962,144.747931000065
49089,,,1214,BULLA/SOMERTON(GREEN ST),RBT MTR,,,,,,,,OPERATIONAL,DIDO,,,,-37.6372379990083,144.804256999828
49090,,,5402,Broadford-Kilmore Rd / Pinniger St,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-37.2066529995693,145.043249000546
49091,,,6218,CALDER/EDWARDS,INT,,,,,,,,OPERATIONAL,BIKECOUNT,,,,-36.7540309994074,144.220124999584
49092,,,1560,CIVIC DRIVE & BUS INTERCHANGE,INT,,,,,,,,OPERATIONAL,,,,,-37.6497349990344,145.066293000142
49093,,,3446,WHITEHALL/PARKER,INT,,,,,,,,OPERATIONAL,"Bike Det,METER",,,,-37.8070939993668,144.903286000137
49094,,,3586,VANTAGE BOULEVARD/ELEVATION BOULEVARD,INT,,,,,,,,OPERATIONAL,,,,,-37.5986029991444,144.893308000014
49095,,,1561,MCDONALDS ROAD / SOUTHLEE DRIVE,INT,,,,,,,,OPERATIONAL,,,,,-37.6496829995631,145.074003000431
49096,,,1562,PHE / Starling Road / Siding Road,INT,,,,,,,,OPERATIONAL,"BUS PRI,METER",,,,-38.0611649990086,145.414876999988
49097,,,5340,Birmingham Road near Alice Street,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.7841549993058,145.37867000046
49098,,,6802,PRINCES HWY WEST / ROONEYS ROAD,INT,,,,,,,,OPERATIONAL,,,,,-38.3616799995346,142.455136999867
49099,,,5342,Derrimut Road / Wyndham Leisure & Event,INT,,,,,,,,OPERATIONAL,FIRE LNK,,,,-37.8828129988937,144.682039000132
49100,,,6803,PRINCES HWY WEST / LINDSAY STREET,INT,,,,,,,,OPERATIONAL,,,,,-38.358244998738,142.443379999628
49101,,,1563,Lonsdale Street near Healeys Lane,POS,,,,,,,,OPERATIONAL,,,,,-37.813079999083,144.955642999791
49102,,,6252,CALDER/TAYLOR/WESLEY,INT,,,,,,,,OPERATIONAL,,,,,-36.8026449986866,144.24236700056
49103,,,2566,EPPING NR TAGGERTY,POS,,,,,,,,OPERATIONAL,,,,,-37.6335379994106,145.027024000276
49104,,,5162,SURF COAST/FEEHANS/COASTSIDE,INT,,,,,,,,OPERATIONAL,,,,,-38.2414279993687,144.333592999709
49105,,,3656,BURNLEY/HIGHETT,INT,,,,,,,,OPERATIONAL,,,,,-37.8168979990072,145.008770000481
49106,,,3657,BURNLEY/MURPHY,INT,,,,,,,,OPERATIONAL,,,,,-37.8178749995356,145.008574999624
49107,,,3526,MILLERS/CABOT DRIVE,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8440169987347,144.846079999647
49108,,,1401,CITY LINK/GIBDON ENTRY,RAMP MTR,,,,,,,,OPERATIONAL,VM CAP,,,,-37.8313249989871,145.008699000191
49109,,,1249,AITKEN BLVD/SOMERTON/KIRKHAM,INT,,,,,,,,OPERATIONAL,,,,,-37.6381349987332,144.909406999911
49110,,,1240,GREENS/KEY/PACIFIC,INT,,,,,,,,OPERATIONAL,,,,,-38.011009999388,145.182115000078
49111,,,1248,WINTON ROAD / PITT STREET,INT,,,,,,,,OPERATIONAL,,,,,-37.8725619994083,145.069236000358
49112,,,1258,OAK ST BTW GARRARD AND POPLAR,POS,,,,,,,,OPERATIONAL,,,,,-37.779083999323,144.942465000225
49113,,,1262,LEAKES RD/BANFIELD CT,INT,,,,,,,,OPERATIONAL,,,,,-37.840713998864,144.762080999764
49114,,,1355,WELLINGTON BTW WESTMINSTER & TAYLORS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.9273929991942,145.241337000446
49115,,,5178,GRUBB/EMPRESS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.2394859992886,144.539210999881
49116,,,5174,CARTWRIGHT NR KELLIHER,FLASH PX,,,,,,,,OPERATIONAL,,,,,-36.1399759990729,146.893102000399
49117,,,1369,HULL NR MANCHESTER,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.789084999243,145.310721999563
49118,,,1370,MICKLEHAM/DELLAMORE,INT,,,,,,,,OPERATIONAL,,,,,-37.6226889986693,144.883845000078
49119,,,6025,MCIVOR BTW PATRICK AND MURPHY,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-36.7582679993482,144.297282000341
49120,,,1374,DERRIMUT/WERRIBEE PLAZA ENT 4,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8749459991894,144.683327000313
49121,,,1505,PALMERS/OVERTON,INT,,,,,,,,OPERATIONAL,,,,,-37.8667519993525,144.748050000478
49122,,,5327,PIGDONS ROAD / UNIVERSITY DRIVE,INT,,,,,,,,OPERATIONAL,,,,,-38.1933159992416,144.305297999561
49123,,,2500,RACECOURSE/SMITHFIELD,INT,,,,,,,,OPERATIONAL,"Bluetooth,TRAM PRI",,,,-37.7876939988083,144.925211999724
49124,,,3403,KENSINGTON RD/ALTONA ST,INT,,,,,,,,OPERATIONAL,,,,,-37.7959379992027,144.924546000401
49125,,,2026,HOLLAND AVE NR BURWOOD HWY,POS,,,,,,,,OPERATIONAL,,,,,-37.8497389995408,145.115252999466
49126,,,5939,KYNETON MAIN ROAD JENNINGS AND LAURISTON,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-37.2478639995259,144.45350000055
49127,,,5187,BARWON/SWANSTON,INT,,,,,,,,OPERATIONAL,,,,,-38.1658979991043,144.360660000118
49128,,,3641,PEARCEDALE PDE/SHOPPING CENTRE ACCESS RD,INT,,,,,,,,OPERATIONAL,,,,,-37.6788879994164,144.918337000292
49129,,,4040,BURKE/CAMBERWELL/RIVERSDALE,INT,,,,,,,,OPERATIONAL,"Bluetooth,TRAM PRI,UPS",,,,-37.8313429994086,145.056695999968
49130,,,3444,RATHDOWNE ST NEAR RICHARDSON ST,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.7847869987935,144.97266699965
49131,,,1251,KANGAN DR (NEAR MCDONALDS ACCESS),POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.0404239988897,145.342919999462
49132,,,5351,SURF COAST HWY / ARMSTRONG BLVD,INT,,,,,,,,OPERATIONAL,,,,,-38.2294639991252,144.33595999965
49133,,,2035,Hume Highway/Bunnings Access Road,INT,,,,,,,,OPERATIONAL,,,,,-37.5825079994489,144.940491000244
49134,,,1529,FITZSIMONS NORTH OF PARKWOOD,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.7519239994859,145.135101999605
49135,,,6217,BARNARD/MERCY,INT,,,,,,,,OPERATIONAL,,,,,-36.7508669991939,144.28250799984
49136,,,1350,EDITHVALE ROAD NEAR FRENCH AVE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.0375709990178,145.113490000496
49137,,,5325,LEAKES/ SUNSET VIEWS,INT,,,,,,,,OPERATIONAL,,,,,-37.8350199988898,144.695469999713
49138,,,3182,CLYDE RD/RESERVE ST,INT,,,,,,,,OPERATIONAL,,,,,-38.0357899993803,145.342932999814
49139,,,3183,CLYDE RD/MANSFIELD RD/LANGMORE LANE,INT,,,,,,,,OPERATIONAL,,,,,-38.0329429988573,145.343472000562
49140,,,1522,HALLAM NR IVAN,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.0385059987784,145.266518000176
49141,,,2195,SOMERTON/MAGNOLIA,INT,,,,,,,,OPERATIONAL,,,,,-37.6394409989531,144.919480999757
49142,,,6805,LAVA STREET btn KEPLER ST & LIEBIG ST,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.3813169987395,142.483817999622
49143,,,3574,Dorset Rd btw Leigh Rd & Affleck Rd,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.8024839993175,145.28929200055
49144,,,3573,Mt.Dandenong Rd btw Farnley St & Jarvis,POS,,,,,,,,OPERATIONAL,"Bike Det,METER,PUFFIN",,,,-37.8007489993365,145.298725000554
49145,,,1704,Frankston-Dandenong Rd / Yazaki Way,INT,,,,,,,,OPERATIONAL,,,,,-38.0954159990918,145.176025999446
49146,,,5353,SURF COAST HWY/WHITES RD/WARRALILY RD,INT,,,,,,,,OPERATIONAL,,,,,-38.2339599995576,144.335146999432
49147,,,1063,DUDLEY NR WILLIAM,POS,,,,,,,,OPERATIONAL,"GWTT,PUFFIN,TRAM PRI",,,,-37.8084799990479,144.954926000295
49148,,,2025,NEPEAN HWY/BALCOMBE G-SCHOOL ACC/BAY,INT,,,,,,,,OPERATIONAL,,,,,-38.2731869986808,145.033269999496
49149,,,5156,PATULLOS/KEES,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.0227719992658,144.395481000065
49150,,,1238,GEORGE/RUDDOCK,INT,,,,,,,,OPERATIONAL,BUS PRI,,,,-37.9884249990607,145.209682999663
49151,,,1245,THOMPSON RD/WORSLEY RD,INT,,,,,,,,OPERATIONAL,,,,,-38.0701499994605,145.178532999553
49152,,,1119,DANDENDONG SOUTH BYPASS/CHANDLER,INT,,,,,,,,OPERATIONAL,,,,,-37.9998919993118,145.180790000556
49153,,,2442,KOORNANG/ARAWATTA,INT,,,,,,,,OPERATIONAL,RAIL LNK,,,,-37.8851969992955,145.057824999551
49154,,,1321,SURREY ROAD NR COOTAMUNDRA CR,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.812747999115,145.157339000497
49155,,,1331,THOMPSONS RD/MARRIOTT BIVD/MISSENS RD,INT,,,,,,,,OPERATIONAL,,,,,-38.0791229988913,145.251125000537
49156,,,1511,HAMMOND/RODEO DRV/L'AVENIR BLVD,INT,,,,,,,,OPERATIONAL,,,,,-38.0059959988049,145.207301000083
49157,,,2992,MICKLEHAM/ MELROSE / BROADMEADOWS,INT,,,,,,,,OPERATIONAL,,,,,-37.6995169992365,144.880343999732
49158,,,3705,STUD / MOCKRIDGE,INT,,,,,,,,OPERATIONAL,,,,,-37.8858739993952,145.232877999925
49159,,,1363,CRAIGIEBURN /VANTAGE BLVD,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO,METER,TELECOM",,,,-37.5916599987663,144.894562000283
49160,,,3649,DONALD btwn NICHOLSON & LEEDS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.7978349991864,144.900365999673
49161,,,5845,PEEL/BRIDGE MALL,INT,,,,,,,,OPERATIONAL,,,,,-37.5626609990837,143.863791999496
49162,,,3257,VINEYARD/ELIZABETH/DEVENY,INT,,,,,,,,OPERATIONAL,,,,,-37.5951309993872,144.714033000343
49163,,,3095,JOHN/ACCESS,INT,,,,,,,,OPERATIONAL,,,,,-37.7575389992299,145.34423199956
49164,,,3153,BRIDGE INN BETWEEN MERNDA AND CRAVENS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.5997199987999,145.088391000469
49165,,,1596,LAWRENCE B/W HOVELL & HAVELOCK,FLASH PX,,,,,,,,OPERATIONAL,,,,,-36.1246009991117,146.888950000304
49166,,,1597,LAWRENCE B/W HAVELOCK & ETHEL,FLASH PX,,,,,,,,OPERATIONAL,,,,,-36.1247479990602,146.890020000462
49167,,,1598,HAVELOCK B/W LAWRENCE & ELGIN,FLASH PX,,,,,,,,OPERATIONAL,,,,,-36.1244279993437,146.889779999977
49168,,,1599,Frankston-Flinders Road nr Peddle Street,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.3368379990833,145.17747800038
49169,,,6807,Bentinck Street near Otway Court,POS,,,,,,,,OPERATIONAL,"AMBU LNK,EVP",,,,-38.3414439987982,141.606895999868
49170,,,4250,SOMERVILLE NR BISHOP,POS,,,,,,,,OPERATIONAL,,,,,-37.8118019986821,144.87449100045
49171,,,4267,CAMBERWELL/HAROLD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8274489992013,145.052199999651
49172,,,4302,ORIEL NR BANKSIA,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.7568969987694,145.037737999656
49173,,,4304,WATERDALE NR LOWE,POS,,,,,,,,OPERATIONAL,,,,,-37.7666719990144,145.043145999787
49174,,,4429,RATHDOWNE NR NEWRY,POS,,,,,,,,OPERATIONAL,,,,,-37.7894609995555,144.97188899945
49175,,,101,WELLS/CHELSEA HEIGHTS HOTEL,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,-38.0294469995465,145.131974000088
